[12:06 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: started in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: stopped (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: restarted in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: stopped (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: marked as deleted (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: created (region=EastUS, runtime=nodejs, replicas=1)
[12:06 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: started in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: stopped (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: restarted in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: stopped (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: marked as deleted (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:06 PM] AppService: started in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: started in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: stopped (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: restarted in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: stopped (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: marked as deleted (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: created (region=EastUS, runtime=nodejs, replicas=1)
[12:09 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: started in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: stopped (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: restarted in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: stopped (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: marked as deleted (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: created (region=WestEurope, runtime=python, replicas=2)
[12:09 PM] AppService: started in WestEurope (region=WestEurope, runtime=python, replicas=2)
[12:13 PM] AppService: created (region=WestEurope, runtime=python, replicas=3)
[12:14 PM] AppService: started in WestEurope (region=WestEurope, runtime=python, replicas=3)
[12:14 PM] AppService: stopped (region=WestEurope, runtime=python, replicas=3)
[12:16 PM] AppService: marked as deleted (region=WestEurope, runtime=python, replicas=3)
